city,area,name,address,rating,total_ratings,maps_link,category,search_query
Dhanbad,1st Floor,HDFC Bank,"1st Floor, Shri Ram Plaza, Bank More, Dhanbad, Jharkhand 826007, India",4.2,79,https://www.google.com/maps/place/?q=place_id:ChIJf8dVvN26vzsRatvMElUZbUE,banks,HDFC Bank
Dhanbad,First Floor,HDFC Bank Home Loans - DHANBAD,"First Floor, HDFC Bank LTD, Sri Ram City, Kusum Vihar, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 828127, India",5,75,https://www.google.com/maps/place/?q=place_id:ChIJ86D8-zKj9jkRCC7baxcO9uo,banks,HDFC Bank
Dhanbad,Shakti Tower,HDFC Bank Dinesh Kumar,"Shakti Tower, Joraphatak Rd, Dhanbad, Jharkhand 826007, India",4,1,https://www.google.com/maps/place/?q=place_id:ChIJg-jdmrW99jkRpcUQv3w7eqo,banks,HDFC Bank
Dhanbad,Municipal Holding,ICICI Bank Dhanbad-Branch & ATM,"Municipal Holding, 576/577, Bank Rd, Shastri Nagar, Dhanbad, Jharkhand 826007, India",3.4,52,https://www.google.com/maps/place/?q=place_id:ChIJIRCS9jKj9jkRsEQ9D-3Fh58,banks,ICICI Bank
Dhanbad,City Center,"ICICI Bank City Center, Dhanbad-Branch & ATM","City Center, Luby Circular Rd, Sardar Patel Nagar, Dhanbad, Jharkhand 826007, India",3.5,37,https://www.google.com/maps/place/?q=place_id:ChIJQU2ezLq89jkR46U1HQkFGqc,banks,ICICI Bank
Dhanbad,Shri Shyam Bhawan,"ICICI Bank Saraidhela, Dhanbad-Branch & ATM","Shri Shyam Bhawan, RF63+H9W, Saraidhela Rd, Lohar Kulli, Dhanbad, Jharkhand 826007, India",2.6,27,https://www.google.com/maps/place/?q=place_id:ChIJDYOWDoS89jkRcltvmmbfUIo,banks,ICICI Bank
Dhanbad,Katras Rd,SBI Main Branch Dhanbad,"Katras Rd, Bank More, Dhanbad, Jharkhand 826007, India",2.7,23,https://www.google.com/maps/place/?q=place_id:ChIJ9zRqN8m89jkRUIStQD5GPiE,banks,SBI Bank
Dhanbad,ISM Campus,SBI Branch Indian School Of Mines Dhanbad,"ISM Campus, Dhanbad, Barajamua, Jharkhand 826004, India",3.1,57,https://www.google.com/maps/place/?q=place_id:ChIJ1_BEqYS89jkRrtSwSbK8GKA,banks,SBI Bank
Dhanbad,Madhuri Palace,SBI Branch Dhanbad,"Madhuri Palace, near Centre Bartand, Bartand, Jharudih, Dhanbad, Jharkhand 826007, India",2.8,14,https://www.google.com/maps/place/?q=place_id:ChIJ85whMMm99jkRdtELAXXsiH4,banks,SBI Bank
Dhanbad,purana bazar dist:dhanbad,SBI SME Branch Dhanbad Station Area,"purana bazar dist:dhanbad, Kasturba Nagar, Dhanbad, Jharkhand 826001, India",3.5,14,https://www.google.com/maps/place/?q=place_id:ChIJIa15e8i89jkRX3EWmYlf8UY,banks,SBI Bank
