city,area,name,address,rating,total_ratings,maps_link,category,search_query
Dhanbad,Hirak Point Petrol Pump,"""Golden Honda"" - Honda Two Wheeler Dealer in Dhanbad.","Hirak Point Petrol Pump, Memco More, Dhaiya, Chanchani Colony, Susnilewa, Jharkhand 826010, India",4.8,2097,https://www.google.com/maps/place/?q=place_id:ChIJU9Rs4yy79jkRZRgIa3b490k,bike_showrooms,Honda showroom
Dhanbad,Jharia Rd,Gopalka Honda,"Jharia Rd, opposite Mahindra show room, Dhansar, Shastri Nagar, Dhanbad, Dhaunsar, Jharkhand 828106, India",4.6,4383,https://www.google.com/maps/place/?q=place_id:ChIJYZmvWaCj9jkRT_vMgxus4-g,bike_showrooms,Honda showroom
Dhanbad,opp. IMMA Bhawan,Premsons Honda Dhanbad-Showroom,"opp. IMMA Bhawan, near NEXA SHOWROOM, Chanakya Nagar, Saraidhella, Jharkhand 826007, India",4.8,5978,https://www.google.com/maps/place/?q=place_id:ChIJF9JOfni89jkRTvBt7dyPB0I,bike_showrooms,Honda showroom
Dhanbad,Bajrang vihar colony,Golden Honda Service,"Bajrang vihar colony, barwadda road, near golden honda service center, Satyam Nagar, Dhanbad, Kurmidih, Jharkhand 826010, India",4.8,1709,https://www.google.com/maps/place/?q=place_id:ChIJY5PxNXq79jkRvTw2gCyoKp8,bike_showrooms,Honda showroom
Dhanbad,Premsons Honda Dhanbad- Workshop,Premsons Honda Dhanbad-Workshop,"Premsons Honda Dhanbad- Workshop, Saraidhela, opposite Jagannath Hospital, beside Durgamandir, Chanakya Nagar, Dhanbad, Saraidhella, Jharkhand 826007, India",4.7,6110,https://www.google.com/maps/place/?q=place_id:ChIJD9Il7Ie99jkRYJEkUthsTLo,bike_showrooms,Honda showroom
Dhanbad,Ground Floor,Libra Honda,"Ground Floor, near Block Office, Ratanpur, Jharkhand 828109, India",4.1,338,https://www.google.com/maps/place/?q=place_id:ChIJ21CzYNW49jkRNHKS_WUMLwA,bike_showrooms,Honda showroom
Dhanbad,Jharia Rd,Gopalka Honda Service Dhanbad - Bike Showroom In Dhanbad,"Jharia Rd, Dhansar, Shastri Nagar, Dhanbad, Jharkhand 828106, India",3.8,144,https://www.google.com/maps/place/?q=place_id:ChIJHbAv-Luj9jkR3pbfArqg6O4,bike_showrooms,Honda showroom
Dhanbad,Baliapur Hirak Rd,Premsons Honda Baliapur,"Baliapur Hirak Rd, near Grover MRF Tyres, Jharia, Dhanbad, Jharkhand 828201, India",4.9,1516,https://www.google.com/maps/place/?q=place_id:ChIJWzr-2Ui_9jkR_J4r_y3DiTM,bike_showrooms,Honda showroom
Dhanbad,Grand Trunk Rd,Friends Honda,"Grand Trunk Rd, Dhanbad, Barajamua, Jharkhand 826010, India",3.9,9,https://www.google.com/maps/place/?q=place_id:ChIJp9kn2zG79jkRbRjVA6kx2xA,bike_showrooms,Honda showroom
Dhanbad,NH2,SHIVAAY HONDA,"NH2, Rajabhita alias Rajganj, Jharkhand 826006, India",4.5,62,https://www.google.com/maps/place/?q=place_id:ChIJHbUZdLul9jkRHOLHGjqKcRA,bike_showrooms,Honda showroom
