city,area,name,address,rating,total_ratings,maps_link,category,search_query
Dhanbad,Binod Bihari Chowk,Vishal Mega Mart,"Binod Bihari Chowk, near Ashrafi Hospital, Jharudih, Dhanbad, Jharkhand 826013, India",4.1,1357,https://www.google.com/maps/place/?q=place_id:ChIJBeWx6-Gj9jkRqisRda2tDYo,marts,Vishal Mega Mart
Dhanbad,Binod Bihari Chowk,VISHAL MEGA MART - DHANBAD-5,"Binod Bihari Chowk, near Ashrafi Hospital, Kasturba Nagar, Dhanbad, Jharkhand 826007, India",4.7,70,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqr689jkRRyKAMZA3fvI,marts,Vishal Mega Mart
Dhanbad,Hirapur Park Market,Kolkata Mart,"Hirapur Park Market, Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007, India",3.7,154,https://www.google.com/maps/place/?q=place_id:ChIJRXna0ZW89jkRXhRGHLnYVQ4,marts,D-Mart
Dhanbad,RF64+PR4,Home mart,"RF64+PR4, Unnamed Road, Kusum Vihar, Murli Nagar, Dhanbad, Saraidhella, Jharkhand 826007, India",4.6,10,https://www.google.com/maps/place/?q=place_id:ChIJeVExD-e99jkRrgCwifyBL6o,marts,D-Mart
Dhanbad,B No A-6,D-Mart,"B No A-6, Portion of Lower Ground Floor, NH-19, Balmiki Mohalla, Block E, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044, India",4.3,1339,https://www.google.com/maps/place/?q=place_id:ChIJaZT4T-HnDDkRjnuorfzechI,marts,DMart
Dhanbad,Plot no,D Mart,"Plot no, 1, New Rohtak Rd, opp. Changezi chicken, Sidipura, Karol Bagh, New Delhi, Delhi, 110005, India",4.3,3367,https://www.google.com/maps/place/?q=place_id:ChIJgVFSxO79DDkRI0V9h2hdxvI,marts,DMart
Dhanbad,QCQG+G8R,Big Mart Retail Store,"QCQG+G8R, Damodarpur, Dhanbad, Jharkhand 826007, India",4,188,https://www.google.com/maps/place/?q=place_id:ChIJrVf1eVi99jkRIGIPk5h1h5g,marts,DMart
Dhanbad,Plot No 247,Reliance SMART Superstore,"Plot No 247, 249/256, Combined Bldg Rd, Jay Prakash Nagar, Hirapur, Dhanbad, Jharkhand 826007, India",4,2003,https://www.google.com/maps/place/?q=place_id:ChIJVSQZ8M299jkRDisHMmsY-gg,marts,Reliance Smart
Dhanbad,The Gallaeria,Reliance Smart Bazaar,"The Gallaeria, Sri Ram City, Kola Kusma Rd, Sugiadih, Lohar Kulli, Saraidhella, Jharkhand 826007, India",4.2,14680,https://www.google.com/maps/place/?q=place_id:ChIJoeUxHXi89jkRCQpYP78ROEA,marts,Reliance Smart
Dhanbad,NH18,Reliance smart bazar saraidhela,"NH18, RF64+Q3X Bidya Sagar Mandal, Kusum Vihar, Lohar Kulli, Dhanbad, Jharkhand 826007, India",4,79,https://www.google.com/maps/place/?q=place_id:ChIJc_4dDQC99jkRDXllJdx54Q8,marts,Reliance Smart
Dhanbad,Prabhatam Grand Mall,"More Hypermart, Dhanbad","Prabhatam Grand Mall, RCHM+M84, Dhaiya, Dhanbad, Jharkhand 826010, India",4,49,https://www.google.com/maps/place/?q=place_id:ChIJXc1QuJm79jkR_k-XZBpMv5w,marts,More Supermarket
Dhanbad,Center Point Mall,Spencers,"Center Point Mall, near Innovative Infra Projects, Bank More, Dhanbad, Jharkhand 826007, India",4,1687,https://www.google.com/maps/place/?q=place_id:ChIJHxxkvTSj9jkR9sTVX67nylY,marts,Spencer's
Dhanbad,Government Polytechnic Rd,Sneha Shoppe - Online Mart,"Government Polytechnic Rd, near Forest Colony, Shankar Colony, Forest Colony, Dhanbad, Jharkhand 826007, India",4.6,173,https://www.google.com/maps/place/?q=place_id:ChIJVQqytlG99jkRE2gRRP9ZECA,marts,Grocery Mart
Dhanbad,Sahayogi Apartment,Apna Mart U&S enterprises,"Sahayogi Apartment, nagar, near big bazar, opp. Raja talab, Sahayogi Nagar Sector II, Dhanbad, Sabalpur, Jharkhand 826008, India",4.7,26,https://www.google.com/maps/place/?q=place_id:ChIJp1pqOh679jkRJQLa8Ki8O5Q,marts,Grocery Mart
Dhanbad,Hirapur,Park Market,"Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007, India",4.1,3729,https://www.google.com/maps/place/?q=place_id:ChIJldZVzte99jkRr0nDrCcEQHg,marts,Grocery Mart
Dhanbad,Bhiphore Hirak Rd,Ann SuperMart,"Bhiphore Hirak Rd, Amaghata alias Sogiadih, Jharkhand 826010, India",4.4,48,https://www.google.com/maps/place/?q=place_id:ChIJpUDaBG679jkRxfM-4FukT4E,marts,Grocery Mart
Dhanbad,opposite Water tank,365 Supermart,"opposite Water tank, Manaitand, Dhanbad, Jharkhand 826007, India",3.9,10,https://www.google.com/maps/place/?q=place_id:ChIJKd53myK99jkRPyG_EiUMrrY,marts,Grocery Mart
Dhanbad,Ganpati Apartment,Dhanbad City Bazar,"Ganpati Apartment, Jamtara - Dhanbad Rd, near Shri Ram Market, Kusum Vihar, Murli Nagar, Saraidhella, Jharkhand 826007, India",3.9,1271,https://www.google.com/maps/place/?q=place_id:ChIJm_hPrYC89jkRBR4cjPpTnao,marts,Grocery Mart
Dhanbad,RCMM+88Q,Amulya Market Memco More Dhanbad,"RCMM+88Q, Satyam Nagar, Susnilewa, Jharkhand 826010, India",3.9,278,https://www.google.com/maps/place/?q=place_id:ChIJj4pCK2C79jkRo4WDCaHc1u0,marts,Grocery Mart
Dhanbad,Sai Sundaram Apartment,Modi Super Bazar,"Sai Sundaram Apartment, Chiragora Main Rd, near Binod Nagar, Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007, India",3.8,262,https://www.google.com/maps/place/?q=place_id:ChIJ2eX09Ou89jkR3UaYPNf36ms,marts,Grocery Mart
Dhanbad,Khatal Rd,TOP - UP MART,"Khatal Rd, Dhaiya, Dhanbad, Jharkhand 826010, India",4.6,25,https://www.google.com/maps/place/?q=place_id:ChIJJWLO3Vq79jkRoKaCZ1wKKWE,marts,Grocery Mart
Dhanbad,RFGM+7JP,Smart Point,"RFGM+7JP, Tapowan colony, Kalakusuma, Jharkhand 826008, India",3.9,150,https://www.google.com/maps/place/?q=place_id:ChIJOVM6Eem79jkR6objWj04LJo,marts,Grocery Mart
Dhanbad,August Colony,SHIV MART,"August Colony, Bhuli Hirak Rd, Dhanbad, Barpichhri Kariatanr, Jharkhand 826004, India",4.9,19,https://www.google.com/maps/place/?q=place_id:ChIJPeXvsnel9jkRiH9nBvHJDHQ,marts,Grocery Mart
Dhanbad,Chanakya Nagar,Sri Shyam Supermart,"Chanakya Nagar, Dhanbad, Kalakusuma, Jharkhand 826008, India",4.4,14,https://www.google.com/maps/place/?q=place_id:ChIJ1SeQoSG79jkRsa5FesiF7VM,marts,Grocery Mart
Dhanbad,KumharPatti Rd,Ramji Kirana Store,"KumharPatti Rd, Manaitand Basti, Barmasia, Dhanbad, Jharkhand 826007, India",4.3,71,https://www.google.com/maps/place/?q=place_id:ChIJg70KQ8O89jkRl1iFRPjC-Qo,marts,Grocery Mart
Dhanbad,Bhuli Hirak Rd,SHRI RAM SUPER MART,"Bhuli Hirak Rd, Bhuli, Dhanbad, Jharkhand 826012, India",5,3,https://www.google.com/maps/place/?q=place_id:ChIJx8-RTkil9jkRQyGzE8mQaVU,marts,Grocery Mart
Dhanbad,National Highway 32,Centre Point Mall,"National Highway 32, Katras Rd, Bank More, Dhanbad, Jharkhand 826007, India",4,4990,https://www.google.com/maps/place/?q=place_id:ChIJ9xq-mDSj9jkR7mggJymaiNg,marts,Supermarket
Dhanbad,LG -2,GOODS 'n FOODS,"LG -2, THE HUB, Saraidhela Rd, below DOMINOS, Kusum Vihar, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 826007, India",3.5,30,https://www.google.com/maps/place/?q=place_id:ChIJsTEAYg-99jkRwySWjHFlb9I,marts,Supermarket
Dhanbad,Ara More,Everyday SUPERMARKET,"Ara More, Raza Colony, Wassepur, Dhanbad, Jharkhand 828130, India",4,39,https://www.google.com/maps/place/?q=place_id:ChIJwz10QHaj9jkRVy74hqqvxQQ,marts,Supermarket
Dhanbad,Shayam Nagar,Basant Kirana,"Shayam Nagar, Bhuli Rd, Wassepur, Dhanbad, Jharkhand 828104, India",4,37,https://www.google.com/maps/place/?q=place_id:ChIJfQuEMWij9jkRGWD7_sNDTzc,marts,Supermarket
Dhanbad,kirana store,DHANBAD KIRANA,"kirana store, Lohar Kulli, Dhanbad, Jharkhand 826007, India",4.3,15,https://www.google.com/maps/place/?q=place_id:ChIJT03ZVMu89jkRQTm3neNMVNw,marts,Supermarket
Dhanbad,London Mall Binod Bihari Chowk,V-Mart - Dhanbad-Binodbihari Chowk,"London Mall Binod Bihari Chowk, Bhuli Hirak Rd, Nawadih, Dhanbad, Jharkhand 826013, India",4.8,10088,https://www.google.com/maps/place/?q=place_id:ChIJvePpd0Sj9jkRFd9f8rPeNkQ,marts,Departmental Store
Dhanbad,Manoram Nagar,V-Mart - Hirapur,"Manoram Nagar, Luby Circular Rd, Hirapur, Kasturba Nagar, Dhanbad, Jharkhand 826007, India",4.7,8879,https://www.google.com/maps/place/?q=place_id:ChIJf6hl7sC99jkR8uHGSg8pfoA,marts,Departmental Store
Dhanbad,Luby Circular Rd,City Centre - Dhanbad,"Luby Circular Rd, Jay Prakash Nagar, Jharudih, Dhanbad, Jharkhand 826007, India",4.1,4877,https://www.google.com/maps/place/?q=place_id:ChIJa6ucIGy99jkRShioMRpeJYk,marts,Departmental Store
Dhanbad,NH 32,Ozone Galleria Mall,"NH 32, Sugiadih, Sahayogi Nagar Sector II, Dhanbad, Jharkhand 828127, Sugiadih, CCWO Colony, Dhanbad, Saraidhella, Jharkhand 826007, India",4.3,3969,https://www.google.com/maps/place/?q=place_id:ChIJ84UVtWu79jkRGecb15iTBdk,marts,Departmental Store
Dhanbad,Aastha Twin Tower,V-Mart - Dhanbad-Saraidhella,"Aastha Twin Tower, Road, near the Gallaeria mall, Govindpuri, Saraidhella, Kalakusuma, Jharkhand 826008, India",4.9,4955,https://www.google.com/maps/place/?q=place_id:ChIJtb1wYVu79jkRrdwN0a1_Mgc,marts,Departmental Store
Dhanbad,Sujata Palace,Shankar Mall,"Sujata Palace, Near, Harimandir Rd, Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007, India",3.8,973,https://www.google.com/maps/place/?q=place_id:ChIJzVciHZW89jkRgRj4MFoIoNs,marts,Departmental Store
Dhanbad,Shanti Bhawan,Ozone plaza,"Shanti Bhawan, Bank More, Dhanbad, Jharkhand 826007, India",4.2,967,https://www.google.com/maps/place/?q=place_id:ChIJWccTjDy99jkR9_oczYg-X2M,marts,Departmental Store
Dhanbad,On 8,Royal Bazar,"On 8, lane state highway, Nawadih, Dhanbad, Jharkhand 826012, India",3.8,822,https://www.google.com/maps/place/?q=place_id:ChIJDZ0ac6ik9jkRtm2KhZCXzGc,marts,Departmental Store
Dhanbad,3rd Floor Unit no 310,COSMO BAZAAR DHANBAD,"3rd Floor Unit no 310, The Ozone Galleria Mall, Sugiadih, CCWO Colony, Saraidhella, Jharkhand 826007, India",4.1,27,https://www.google.com/maps/place/?q=place_id:ChIJyazpbaC79jkRdcSteMq08YE,marts,Departmental Store
Dhanbad,CENTRAL PLAZA,CITI STYLE,"CENTRAL PLAZA, Bank More, Dhanbad, Jharkhand 826007, India",4.3,7962,https://www.google.com/maps/place/?q=place_id:ChIJQ8ega8u89jkR8ij-i1ES8oM,marts,Departmental Store
Bokaro Steel City,Bye Pass Rd,Vishal Mega Mart,"Bye Pass Rd, near ICICI Bank, Chas, Bokaro Steel City, Chas, Jharkhand 827013, India",4.6,558,https://www.google.com/maps/place/?q=place_id:ChIJKTZXyJwj9DkRwv23Sba8YA0,marts,Vishal Mega Mart
Bokaro Steel City,Sector-5,Daily Mart,"Sector-5, Plot No.1-D/09, Centre Market, Sector 5, Bokaro Steel City, Jharkhand 827006, India",3.8,109,https://www.google.com/maps/place/?q=place_id:ChIJ-y0YOtMj9DkRcFQUwmCuNe0,marts,D-Mart
Bokaro Steel City,Sector 9,D MEGA MART,"Sector 9, Ramdih More Rd, near Bokaro Hotel, Rani Pokhar Village, Bokaro Steel City, Jharkhand 827009, India",5,2,https://www.google.com/maps/place/?q=place_id:ChIJ607Gh40j9DkReS4mIV_y5Z8,marts,D-Mart
Bokaro Steel City,Plot No N1,Reliance SMART Superstore,"Plot No N1, Upper Ground & 1st Floor, South Block, Sector 5, Bokaro Steel City, Jharkhand 827003, India",4.1,2034,https://www.google.com/maps/place/?q=place_id:ChIJvSogaOsj9DkRUI520SyuavE,marts,Reliance Smart
Bokaro Steel City,Mall,Reliance SMART Bazaar,"Mall, Sector 3, Bokaro Steel City, Jharkhand 827003, India",3.4,83,https://www.google.com/maps/place/?q=place_id:ChIJvRQ4rrMj9DkR878vJPL8_FY,marts,Reliance Smart
Bokaro Steel City,J5GM+PVH,Reliance SMART,"J5GM+PVH, Bhawani Pur Site, Bokaro Steel City, Chas, Jharkhand 827013, India",3.9,110,https://www.google.com/maps/place/?q=place_id:ChIJ6UNWFUQh9DkR3k76DUfWavY,marts,Reliance Smart
Bokaro Steel City,M582+5PW,Reliance Smart Superstore,"M582+5PW, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.5,4,https://www.google.com/maps/place/?q=place_id:ChIJuZTBcAAj9DkRK1J2maRsi8s,marts,Reliance Smart
Bokaro Steel City,Indira Gandhi Marg,The Bokaro Mall,"Indira Gandhi Marg, Sector 3/C, Sector 3, Bokaro Steel City, Jharkhand 827003, India",4.3,18701,https://www.google.com/maps/place/?q=place_id:ChIJHSDNUrIj9DkRVSCv7TmweFo,marts,Big Bazaar
Bokaro Steel City,M47X+Q24,Big Mart Retail Store,"M47X+Q24, Sector 3, Bokaro Steel City, Jharkhand 827003, India",3.9,10,https://www.google.com/maps/place/?q=place_id:ChIJozJIs78j9DkRQA5yH1RHPwg,marts,Big Bazaar
Bokaro Steel City,The Gallaeria,Reliance Smart Bazaar,"The Gallaeria, Sri Ram City, Kola Kusma Rd, Sugiadih, Lohar Kulli, Saraidhella, Jharkhand 826007, India",4.2,14680,https://www.google.com/maps/place/?q=place_id:ChIJoeUxHXi89jkRCQpYP78ROEA,marts,Big Bazaar
Bokaro Steel City,CITY CENTRE SECTOR - 4,M Bazaar Bokaro,"CITY CENTRE SECTOR - 4,NEAR JAI JAWAN PETROL PUMP, Sector 4, Bokaro Steel City, Jharkhand 827004, India",3.9,1034,https://www.google.com/maps/place/?q=place_id:ChIJ0aitBbUj9DkRcd6mpE6sQ6s,marts,Big Bazaar
Bokaro Steel City,Bermo,New Big Bazaar (APNA MART),"Bermo, Shastri Nagar, Phusro, Jharkhand 829144, India",3.8,4,https://www.google.com/maps/place/?q=place_id:ChIJve0sxLEV9DkRJlN4lAbdBuw,marts,Big Bazaar
Bokaro Steel City,Sector 2D Playground,"Sector 2D, market 'shopping centre sector 2","Sector 2D Playground, Sector 2, Bokaro Steel City, Jharkhand 827001, India",,,https://www.google.com/maps/place/?q=place_id:ChIJKS1QVwAj9DkRQZbUBUfA_ZE,marts,Big Bazaar
Bokaro Steel City,1A Plot no.221,Bari Super Bazar,"1A Plot no.221, Bari Co-operative Road Bari Co-operative Colony, Bokaro steel city, Bari Co-operative Colony, Siwandih, Tentulia, Jharkhand 827010, India",4.1,620,https://www.google.com/maps/place/?q=place_id:ChIJN9_xzG4j9DkRwYqq4qI9Q2s,marts,Big Bazaar
Bokaro Steel City,M582+7Q4,City Super Bazar,"M582+7Q4, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.1,96,https://www.google.com/maps/place/?q=place_id:ChIJDfuI-7Qj9DkRz8aL41nK83U,marts,Big Bazaar
Bokaro Steel City,Apna bazar,Apna Bazar More,"Apna bazar, Sector 4-F, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.1,387,https://www.google.com/maps/place/?q=place_id:ChIJi1G0MjEi9DkR8WuWG-EFLyk,marts,Big Bazaar
Bokaro Steel City,Old Chas,Laxmi Market,"Old Chas, J5P7+QCQ, Main Rd, Gujarati Colony, Bokaro Steel City, Chas, Jharkhand 827013, India",4,2397,https://www.google.com/maps/place/?q=place_id:ChIJqS3qEu8j9DkR3KH3XdzVBSw,marts,Big Bazaar
Bokaro Steel City,KB-3,Bokaro Food Market,"KB-3, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.3,6,https://www.google.com/maps/place/?q=place_id:ChIJD29RGnkj9DkR-EfiAIVaaZk,marts,Big Bazaar
Bokaro Steel City,Dundi Bazar,Dundi Bagh,"Dundi Bazar, Police Line, Bokaro Steel City, Jharkhand 827001, India",4.1,1330,https://www.google.com/maps/place/?q=place_id:ChIJ1a4UWqEj9DkRw04A1EGKs5s,marts,Big Bazaar
Bokaro Steel City,Sector 6A,Sector 6 Centre Market,"Sector 6A, Sector-6/C, Bokaro Steel City, Jharkhand 827006, India",4,992,https://www.google.com/maps/place/?q=place_id:ChIJMz0iTSgi9DkRbXHo73I93nk,marts,Big Bazaar
Bokaro Steel City,Bokaro Mall,V-Mart - Bokaro Mall,"Bokaro Mall, Indira Gandhi Marg, Sector 3/C, Sector 3, Bokaro Steel City, Jharkhand 827003, India",4.7,11413,https://www.google.com/maps/place/?q=place_id:ChIJ_5g4AOMj9DkR2Ck06f-PHzo,marts,Big Bazaar
Bokaro Steel City,P & M Mall,Smart bazaar,"P & M Mall, Mouja Jugsulai, P.S 4, Dist.Sub Registry, Q5MH+WW6 J.J. Apartments, Outer Cir Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001, India",4.3,5123,https://www.google.com/maps/place/?q=place_id:ChIJ1RgSPmHj9TkRKF3-zzf2nQI,marts,Big Bazaar
