city,area,name,address,rating,total_ratings,maps_link,category
Dhanbad,Police Line Rd,"Lenskart.com at CMPF Colony, Dhanbad","Police Line Rd, near HDFC Bank, Hirapur, CMPF Colony, Dhanbad, Jharkhand 826007, India",4.9,1616,https://www.google.com/maps/place/?q=place_id:ChIJx2y_fNi99jkRypN0-nCaIhE,optical
Dhanbad,Upper Ground Floor,Lenskart,"Upper Ground Floor, UG 3, Urmila Tower, near Shanti Bhawan, Bank More, Dhanbad, Jharkhand 826001, India",4.9,2494,https://www.google.com/maps/place/?q=place_id:ChIJbbBlajOj9jkRX5iaF4upWWA,optical
Dhanbad,Saraidhela Rd,"Lenskart.com at Saraidhela, Dhanbad","Saraidhela Rd, Mandal Para, At+Po+Ps, Saraidhella, Dhanbad, Jharkhand 828127, India",4.9,401,https://www.google.com/maps/place/?q=place_id:ChIJMQFQlVK99jkR98MoG2YEYt4,optical
Dhanbad,Shop no 5& 32,"Titan Eye+ at Bank More, Dhanbad (Buy 1 Get 1 Free)","Shop no 5& 32, Shanti Bhawan, next to Titan World, Bank More, Dhanbad, Jharkhand 826007, India",4.9,2415,https://www.google.com/maps/place/?q=place_id:ChIJLUwF9jKj9jkRaiQTy7UthRg,optical
Dhanbad,Upper ground floor,"Titan Eye+ at Saraidhela, Dhanbad (Buy 1 Get 1 Free)","Upper ground floor, Capital Mall, opposite Bigbazar, Chanakya Nagar, Saraidhella, Jharkhand 826007, India",4.9,1353,https://www.google.com/maps/place/?q=place_id:ChIJSdMQ52O99jkRdHLfwlYnjn4,optical
Dhanbad,Patel chowk,Titan Eyewear,"Patel chowk, Police Line Rd, Baba Colony, Hirapur, CMPF Colony, Dhanbad, Jharkhand 826007, India",4.7,56,https://www.google.com/maps/place/?q=place_id:ChIJ6SCJFi699jkR9BsQIDT-7lc,optical
Bokaro Steel City,A11,"Lenskart.com at Sector 4, Bokaro","A11, opposite Central Bank of India, below Shane Punjab Restaurant, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.9,1408,https://www.google.com/maps/place/?q=place_id:ChIJK37VATUi9DkRyKg2L_d_-wc,optical
Bokaro Steel City,Plot No 7090,"Lenskart.com at Chas, Bokaro Steel City","Plot No 7090, Mouza Chas, Pargana Chas P S Chas, Thana No 30, Khaspel, Near Bypass Road, Ward, Street Number 16, Ramnagar Colony, Bokaro Steel City, Chas, Jharkhand 827013, India",4.9,2083,https://www.google.com/maps/place/?q=place_id:ChIJh45VwOsj9DkRepzPqN4u7AA,optical
Bokaro Steel City,1st Floor,Lenskart.com at Bokaro Mall,"1st Floor, Bokaro Mall, Indira Gandhi Marg, Sector 3/C, Sector 3, Bokaro Steel City, Jharkhand 827003, India",4.9,284,https://www.google.com/maps/place/?q=place_id:ChIJV09RIpMj9DkRA5TDcf9NNX0,optical
Bokaro Steel City,M-5,"Titan Eye+ at Sector 4, Bokaro (Buy 1 Get 1 Free)","M-5, City Centre, near Honda Showroom, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.9,2484,https://www.google.com/maps/place/?q=place_id:ChIJi7s4lbQj9DkRNib__4QmO8w,optical
Deoghar,Ground Floor,Lenskart Store,"Ground Floor, Savitri Complex, Railway Station Road, Shyam Ganj Rd, near ICICI Bank, Williams Town, Deoghar, Jharkhand 814112, India",4.9,1519,https://www.google.com/maps/place/?q=place_id:ChIJ6WEqpj8X8TkR_M4axx7naTY,optical
Deoghar,Beside Tanishq Showroom,"Titan Eye+ at Access Road, Deoghar (Buy 1 Get 1 Free)","Beside Tanishq Showroom, Nr. Tower Chowk Dist, Deoghar, Jharkhand 814112, India",4.9,3444,https://www.google.com/maps/place/?q=place_id:ChIJ8f___yYW8TkRsGUN78gfqwg,optical
Giridih,Ward No 5,Lenskart.com at Court Road Giridih,"Ward No 5, 15 & 17 Ground Floor, Beside Titan World, Kali Bari, Court Rd, New Barganda, Giridih, Jharkhand 815301, India",4.9,623,https://www.google.com/maps/place/?q=place_id:ChIJ6SdF0pNV8TkRYMrDYdAQBkM,optical
Giridih,Court Rd,"Titan Eye+ at Court Road, Giridih (Buy 1 Get 1 Free)","Court Rd, beside Annapurna Sweets, opposite State Co-operate Bank Limited, Buxidih, Giridih, Jharkhand 815301, India",4.9,1053,https://www.google.com/maps/place/?q=place_id:ChIJPxRDQkxV8TkRCYcP4KhMsAE,optical
Ramgarh,Plot No 172,Lenskart.com at Ramghar,"Plot No 172, Gram Thana Chawk, near Gandhi Chawk, Area, Ramgarh Cantonment, Jharkhand 829122, India",4.9,1506,https://www.google.com/maps/place/?q=place_id:ChIJcXPC_JH19DkRt7FC8m0m1CM,optical
Ramgarh,NH-33,"Titan Eye+ at Thane Chowk, Ramgarh (Buy 1 Get 1 Free)","NH-33, Gandhi Chowk (Thana Chowk Main Road, Ramgarh Cantonment, Jharkhand 829122, India",4.9,1409,https://www.google.com/maps/place/?q=place_id:ChIJhw-iVIHs9DkRP1gvpaifLqw,optical
Daltonganj,Chata No 483,Lenskart,"Chata No 483, Plot No 2606, Redma Chowk, Ward No 18, Chedi Petrol Pump, Panki Road, Abadganj, Medininagar, Jharkhand 822101, India",4.9,296,https://www.google.com/maps/place/?q=place_id:ChIJScBzATF3jDkRmSFwmZ2-lrI,optical
Daltonganj,Shail Complex Badi Masjid Road 6 Muhan,Palamau Optics,"Shail Complex Badi Masjid Road 6 Muhan, Daltenganj, Medininagar, Jharkhand 822101, India",4.3,13,https://www.google.com/maps/place/?q=place_id:ChIJjacvbtJ3jDkRIPiD8kKOLLI,optical
Daltonganj,Sattar Seth Chowk,Eye care chasma ghar,"Sattar Seth Chowk, Daltenganj, Medininagar, Jharkhand 822101, India",5,9,https://www.google.com/maps/place/?q=place_id:ChIJIyo1blt3jDkRPfZHhMCpEuw,optical
Daltonganj,Vishnu Mandir Rd,Optical palace,"Vishnu Mandir Rd, Daltenganj, Medininagar, Jharkhand 822101, India",4,1,https://www.google.com/maps/place/?q=place_id:ChIJl4M9ZaV3jDkRJLduiY9zeeY,optical
Daltonganj,Khata No 39,Lenskart.com at Lohardaga,"Khata No 39, SARNA TOLI, Plot- 490/2378, PS, Lohardaga, Jharkhand 835302, India",5,131,https://www.google.com/maps/place/?q=place_id:ChIJQR039RcjizkRXFLzlCrM6Z0,optical
Daltonganj,Hotel Royal Padmawati,"Lenskart.com at Chinia More, Garhwa","Hotel Royal Padmawati, Plot No 39, Chiniya Rd, Chinia More, Post+PS, Bishunpur, Garhwa, Jharkhand 822114, India",5,306,https://www.google.com/maps/place/?q=place_id:ChIJpSv6l90PjDkRQRlbHdQqN2U,optical
Daltonganj,Shop No,"Lenskart.com at Hazaribagh, Jharkhand (Harry Potter Collection)","Shop No, 235, Guru Gobind Singh Rd, near Annada Chowk, NawabGanj, Hazaribagh, Jharkhand 825301, India",4.9,1702,https://www.google.com/maps/place/?q=place_id:ChIJ08z-yRqd9DkRju6B8mF7hSE,optical
Daltonganj,Daltenganj,TITAN WATCH Electronic SHOP,"Daltenganj, Medininagar, Jharkhand 822101, India",4.4,20,https://www.google.com/maps/place/?q=place_id:ChIJPx_-Y813jDkR0hIY4EVBDxg,optical
Daltonganj,Ground Floor,Titan Nissan,"Ground Floor, Bye Pass Road, opposite Satkar Bhavan, SUDNA, Medininagar, Jharkhand 822101, India",5,113,https://www.google.com/maps/place/?q=place_id:ChIJuQN4xcN3jDkR8N4nMULMTVo,optical
