city,area,name,address,rating,total_ratings,maps_link,category
Dhanbad,No. 6,Apollo Pharmacy Dhanbad Bank More,"No. 6, Jharia Rd, near Reliance Jewels, Bank More, Dhanbad, Jharkhand 826007, India",4.6,38,https://www.google.com/maps/place/?q=place_id:ChIJL7iTxIGj9jkRYp6jViRPvxU,pharmacy
Dhanbad,Ground Floor,Apollo Pharmacy Matkuria,"Ground Floor, Dhanbad Rd, near Capital Residency, Bank More, Matkuria, Dhanbad, Jharkhand 826007, India",4.7,12,https://www.google.com/maps/place/?q=place_id:ChIJHX1EnU-j9jkRqyIL3wG0EeQ,pharmacy
Dhanbad,Ground Floor,Apollo Pharmacy Bartand Bus Stand,"Ground Floor, Housing Colony Rd, Sardar Patel Nagar, Dhanbad, Jharkhand 826007, India",3.5,12,https://www.google.com/maps/place/?q=place_id:ChIJwRBzkEO99jkRxTF6y3C6f6I,pharmacy
Dhanbad,Ground Flr,Apollo Pharmacy Noori Masjid,"Ground Flr, Bhuli Rd, near Noori Masjid, Karim Gunj, Wassepur, Dhanbad, Jharkhand 828130, India",5,11,https://www.google.com/maps/place/?q=place_id:ChIJ3ydUSSuj9jkRObelEKE3rWk,pharmacy
Dhanbad,PCR9+JMC,Apollo pharmacy jharia,"PCR9+JMC, Koery Bandh, Dhanbad, Jharia, Jharkhand 828111, India",4.1,8,https://www.google.com/maps/place/?q=place_id:ChIJfblibWC99jkRZjdJm-Mp6aA,pharmacy
Dhanbad,Apollo Clinic,Apollo Clinic Dhanbad,"Apollo Clinic, Shri Ram Vatika, Dhaiya, Dhanbad, Jharkhand 826007, India",4.1,68,https://www.google.com/maps/place/?q=place_id:ChIJ_zde8bO99jkROenvSbBPgjY,pharmacy
Dhanbad,Ground Flr,Apollo Pharmacy Kendua Bazar,"Ground Flr, Kendua Rd, near Fashion Bazar, Kendua, Basdeopur, Bhadrak, Jharkhand 828116, India",4.8,18,https://www.google.com/maps/place/?q=place_id:ChIJ7anTEjuj9jkRh3djOedCjjk,pharmacy
Dhanbad,SMART Point,Netmeds Pharmacy,"SMART Point, The Haweli, Prabhatam Grandmall Dhaiya Rd, PO, +P.S, Chanchani Colony, Dhanbad, Jharkhand 826010, India",,,https://www.google.com/maps/place/?q=place_id:ChIJY2fQFJu79jkR4wrrFm0r0Tk,pharmacy
Dhanbad,near MENJHLADIH MORE HIRAK,SHREE MEDICALS,"near MENJHLADIH MORE HIRAK, MATHURA NAGAR KOLAKUSHMA, Baliapur Hirak Rd, Kalakusuma, Jharkhand 826008, India",4.9,67,https://www.google.com/maps/place/?q=place_id:ChIJHyYA5oO99jkRqA_Dpy7z3o0,pharmacy
Dhanbad,Chanakya Nagar,Med Care (The Pharmacy Store),"Chanakya Nagar, Dhanbad, Kalakusuma, Jharkhand 826008, India",4.7,29,https://www.google.com/maps/place/?q=place_id:ChIJNcJhTou79jkR5OK14OxHNpU,pharmacy
Dhanbad,RC4M+585,Medkraft pharma,"RC4M+585, Khadeshwari Mandir Rd, near to City Center Mall, Sardar Patel Nagar, Dhanbad, Jharkhand 826007, India",3.7,3,https://www.google.com/maps/place/?q=place_id:ChIJPbW4DoS99jkRCu1JKXjyE_4,pharmacy
Dhanbad,Jamuna Mansion,J.D Kumar & Sons,"Jamuna Mansion, Bank More, Dhanbad, Jharkhand 826007, India",4,86,https://www.google.com/maps/place/?q=place_id:ChIJbVzPacu89jkRRR1uN0jnJa4,pharmacy
Dhanbad,Swastika Complex,Patel Medicals,"Swastika Complex, Main Rd, near Pragati Nursing Home, Lohar Kulli, Saraidhella, Jharkhand 826007, India",4.3,44,https://www.google.com/maps/place/?q=place_id:ChIJ3-b4LYe89jkRTvx45UnRK74,pharmacy
Dhanbad,Jharia Main Rd,Forever Living Products Distributor,"Jharia Main Rd, Amala Para, Jharia, Jharkhand 828111, India",5,2,https://www.google.com/maps/place/?q=place_id:ChIJqcLxAdOj9jkR1aO5YzHq2uE,pharmacy
Bokaro Steel City,No. GA1,Apollo Pharmacy City Centre,"No. GA1, Indira Gandhi Marg, nr. World Of Titan, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004, India",3.7,37,https://www.google.com/maps/place/?q=place_id:ChIJOyNjZQsj9DkRWkDxxRe6vAc,pharmacy
Bokaro Steel City,Ground Floor,Apollo Pharmacy Chas,"Ground Floor, By Pass Road, near Corporation Bank, Ramnagar Colony, Chas, Jharkhand 827013, India",2.7,10,https://www.google.com/maps/place/?q=place_id:ChIJTcoJQ5Yj9DkRDwhOGDHjvTo,pharmacy
Bokaro Steel City,Ward no 8,APOLLO PHARMACY,"Ward no 8, Sultan Nagar Chas Rd, Ansari Colony, Chas, Jharkhand 827013, India",3.9,13,https://www.google.com/maps/place/?q=place_id:ChIJQ8Gt04Ej9DkRQAiLTF1k15c,pharmacy
Bokaro Steel City,Ground Floor,Apollo Pharmacy Jodhadhi more chas bokaro,"Ground Floor, Main Rd, opp. Neelam Hospital, Bihar Colony, Chas, Bokaro Steel City, Chas, Jharkhand 827013, India",2.7,3,https://www.google.com/maps/place/?q=place_id:ChIJ266XV0Ah9DkRJYOiPr2T4O4,pharmacy
Bokaro Steel City,No. 403,Apollo Pharmacy Bari Co-operative,"No. 403, Main Rd, near Indicash ATM, Bari Co-operative Colony, Siwandih, Tentulia, Jharkhand 827010, India",3.9,7,https://www.google.com/maps/place/?q=place_id:ChIJMz21cF8j9DkRCu3JR9my_P8,pharmacy
Bokaro Steel City,near Atithi Hotel,MedPlus Zila School More,"near Atithi Hotel, Purulia, West Bengal 723101, India",1,1,https://www.google.com/maps/place/?q=place_id:ChIJI0HMCS199jkRYBAni2jHgzE,pharmacy
Bokaro Steel City,B5,"EMEDIX Smart Pharmacy - Siwan More, Bokaro","B5, Center Market, Siwan More Rd, Sector 8, Bokaro Steel City, Jharkhand 827009, India",5,13,https://www.google.com/maps/place/?q=place_id:ChIJ358CUncj9DkRMrqehPF-xPA,pharmacy
Bokaro Steel City,Holding No,MedPlus Neamatpur Asansol,"Holding No, 67/061N, G.T. Road, Neamatpur P.O. Sitarampur, P.S. Kulti, District West Burdwan, Neamatpur, West Bengal 713359, India",3.9,28,https://www.google.com/maps/place/?q=place_id:ChIJB-zv5rsZ9zkRLAX7ztEXKHs,pharmacy
Bokaro Steel City,A3,Deluxe Medical,"A3,centre makret (laxmi market, Sector 4, Bokaro Steel City, Jharkhand 827004, India",3.8,38,https://www.google.com/maps/place/?q=place_id:ChIJl9TNZ0wi9DkRErGgSsZnGRQ,pharmacy
Bokaro Steel City,Nilkuthidanga,MedPlus Sc Sen Road,"Nilkuthidanga, Purulia, West Bengal 723101, India",5,1,https://www.google.com/maps/place/?q=place_id:ChIJaQi6oc199jkRjXvSCIIhs4U,pharmacy
Bokaro Steel City,Plot No.- HA - 11,Baba Medico,"Plot No.- HA - 11, Near Pali Plaza Cinema, City Centre, Sector 4, Bokaro Steel City, Jharkhand 827004, India",3.6,27,https://www.google.com/maps/place/?q=place_id:ChIJAwmkzLIj9DkRcPgDQeLRcLo,pharmacy
Bokaro Steel City,Janta medical,Janta Medical,"Janta medical,Plot no. 18, Sector 9, Bokaro Steel City, Jharkhand 827009, India",4.1,14,https://www.google.com/maps/place/?q=place_id:ChIJ174wtGUj9DkRssJzX-jwJ_A,pharmacy
Bokaro Steel City,Holding no. 34/1,MedPlus Mission Road Purulia,"Holding no. 34/1, Ward no. 4, P.O. & P, S, Bhat Bandh, Purulia, West Bengal 723101, India",3.9,17,https://www.google.com/maps/place/?q=place_id:ChIJxZibX2rv9jkR7z2VGzSfHh4,pharmacy
Bokaro Steel City,KD-7,Laxmi Medical,"KD-7, City Centre, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.1,13,https://www.google.com/maps/place/?q=place_id:ChIJb2_n5bQj9DkRbWICAL-naI4,pharmacy
Bokaro Steel City,Sector Market,Monu Medical Hall,"Sector Market, Sector 8C, Sector 8, Bokaro Steel City, Jharkhand 827009, India",4.1,10,https://www.google.com/maps/place/?q=place_id:ChIJRai7eRUi9DkRecImpSHlrys,pharmacy
Bokaro Steel City,holding no. 28/P,MedPlus Upen Babu Street Purulia,"holding no. 28/P, P.O. & P.S, Upen Babu St, Ward 2, Purulia, West Bengal 723101, India",3.4,17,https://www.google.com/maps/place/?q=place_id:ChIJqaNPBPJ99jkRk86rVdzgyXw,pharmacy
Bokaro Steel City,Ward No.79,MEDPLUS BURNPUR ROAD SUBHASPALLY ASANSOL,"Ward No.79, Holding No.94, 403, Subhaspally, Asansol, West Bengal 713325, India",3,17,https://www.google.com/maps/place/?q=place_id:ChIJOWCq_ukf9zkRApwhznyLyJo,pharmacy
Bokaro Steel City,Main Rd,MedPlus Namopara,"Main Rd, Purulia, West Bengal 723103, India",5,1,https://www.google.com/maps/place/?q=place_id:ChIJ-b3bWJ599jkRMUxkhDBEGqI,pharmacy
Bokaro Steel City,Chas,Health Plus Hospital & Research Center,"Chas, Industrial Area, Kamaldi, Bokaro Steel City, Jharkhand 827013, India",4.6,18,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVVoh9DkRH3ksZgP-7nc,pharmacy
Bokaro Steel City,Plot No,Jan Aushadhi Kendra,"Plot No, GA-3, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004, India",4.5,36,https://www.google.com/maps/place/?q=place_id:ChIJSdrbBEUj9DkRR7UTXiwFskQ,pharmacy
Bokaro Steel City,Upper Baniasol,MedPlus Adraa,"Upper Baniasol, Adra, West Bengal 723121, India",3,1,https://www.google.com/maps/place/?q=place_id:ChIJPQ2HLzbx9jkRwID810To-8c,pharmacy
