city,area,name,address,rating,total_ratings,maps_link,category
Dhanbad,Dharmaraj Rd,"D.A.V. Public School Koyla Nagar, DHANBAD","Dharmaraj Rd, Koyla Nagar Colony, Kusum Vihar, Koyla Nagar, Dhanbad, Saraidhella, Jharkhand 826007, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ-4gR62S89jkRpcy79UKbY3o,schools
Dhanbad,RF73+HXP,D.A.V. High School,"RF73+HXP, Lohar Kulli, Dhanbad, Jharkhand 826007, India",,,https://www.google.com/maps/place/?q=place_id:ChIJB079boG89jkRAGVa3-SvIwY,schools
Dhanbad,VC3F+RPP,DAV public school,"VC3F+RPP, Barwadda By Pass Rd, Satyam Nagar, Dhanbad, Barajamua, Jharkhand 826004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ99BQUSW79jkR5aPcoE304Co,schools
Dhanbad,near DPS School,Delhi Public School,"near DPS School, Lohar Kulli, Dhanbad, Jharkhand 826007, India",,,https://www.google.com/maps/place/?q=place_id:ChIJgzItFMi99jkRqFba3fUvcSE,schools
Dhanbad,Sabalpur Rd,"DPS JUNIOR - DELHI PUBLIC SCHOOL JUNIOR, DHANBAD","Sabalpur Rd, Bank Colony, Bhuiphore, Dhanbad, Kalakusuma, Jharkhand 826008, India",4.5,21,https://www.google.com/maps/place/?q=place_id:ChIJGefmxWW79jkRd6WBBJoZF2E,schools
Dhanbad,New Karmik Nagar near Delhi Public School Sarai dhela,D.P.S ENTERPRISES,"New Karmik Nagar near Delhi Public School Sarai dhela, Lohar Kulli, Dhanbad, Jharkhand 826007, India",5,135,https://www.google.com/maps/place/?q=place_id:ChIJHaleE7m99jkRgYzq6QtaJsI,schools
Dhanbad,RFCQ+GW4,Dhanbad Public School,"RFCQ+GW4, Tundi - Govindpur - Dhanbad Rd, Ashok Nagar Sector-2, Dhanbad, Gosaidi, Jharkhand 826008, India",,,https://www.google.com/maps/place/?q=place_id:ChIJr8ZVdve79jkRJPW-eV8NS_Y,schools
Dhanbad,QFV3+8CM,D.P.S School,"QFV3+8CM, near law college, Balaji Nagar, Binod Nagar, Dhanbad, Jharkhand 826004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ64AzFAC99jkREyCI7N8CYm8,schools
Dhanbad,QFQ4+M4F,Kendriya Vidyalaya No.1,"QFQ4+M4F, Binod Nagar, Dhanbad, Jharkhand 826004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJgRKvwvO89jkRlGU-eM-o0qY,schools
Dhanbad,Behind police station. Post : Jagjiwan Nagar,Kendriya Vidyalaya No.2,"Behind police station. Post : Jagjiwan Nagar, Dist : Dhanbad , State :, RF62+992, CMPF Colony, Dhanbad, Jharkhand 826007, India",,,https://www.google.com/maps/place/?q=place_id:ChIJFTu4kYS89jkRMI3N12bjw18,schools
Dhanbad,RC5V+3PF,KV no.1 dhanbad,"RC5V+3PF, CMPF Colony, Dhanbad, Jharkhand 826007, India",3.5,4,https://www.google.com/maps/place/?q=place_id:ChIJoxLSd6y99jkRjLkR0tXRkyI,schools
Bokaro Steel City,Sector 4,D.A.V. Public School Sec 4 Bokaro,"Sector 4, Bokaro Steel City, Jharkhand 827004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJNfJ-hksi9DkR8_mfUWgBnXQ,schools
Bokaro Steel City,M5GC+R9G,D.A.V. PUBLIC SCHOOL SECTOR 6/C,"M5GC+R9G, Sector 6A, Sector-6/C, Bokaro Steel City, Jharkhand 827006, India",,,https://www.google.com/maps/place/?q=place_id:ChIJZZ3AISki9DkRNJyJLoy4RBE,schools
Bokaro Steel City,M6H6+5FJ,D A V International School,"M6H6+5FJ, Kalapathar, Jharkhand 827013, India",,,https://www.google.com/maps/place/?q=place_id:ChIJe-SgI3sh9DkRZqwUrVCf8Is,schools
Bokaro Steel City,M5P8+755,DAV ISPAT PUBLIC SCHOOL 8/B,"M5P8+755, Khatal, Bokaro Steel City, Jharkhand 827009, India",,,https://www.google.com/maps/place/?q=place_id:ChIJuYk3EgAj9DkRs6ryM96pyyA,schools
Bokaro Steel City,Sector 2,DAV ispat vidhyalay sec-2/c B.S city (jharkhand),"Sector 2, Bokaro Steel City, Jharkhand 827001, India",,,https://www.google.com/maps/place/?q=place_id:ChIJe9ytmLsj9DkRzn6_w5DN59Y,schools
Bokaro Steel City,1178,"DELHI PUBLIC SCHOOL, BOKARO STEEL CITY","1178, Sector 4C, Sector 4, Bokaro Steel City, Jharkhand 827004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJXWUfCsAi9DkRv44Oiu4Hcdo,schools
Bokaro Steel City,1021,"Delhi Public School Chas, Bokaro","1021, Raghunathpur - Chas Main Rd, Chas, Khamarbendi, Jharkhand 827013, India",,,https://www.google.com/maps/place/?q=place_id:ChIJhZdrtzAn9DkRPrAoo9yyAgs,schools
Bokaro Steel City,M59C+GQQ,Delhi Public School (Primary),"M59C+GQQ, Sector 5, Bokaro Steel City, Jharkhand 827006, India",,,https://www.google.com/maps/place/?q=place_id:ChIJMUr5b7Uj9DkRU4fQN4jldHY,schools
Bokaro Steel City,M593+68J,Kendriya Vidyalaya No.1 Bokaro,"M593+68J, Sector 4, Bokaro Steel City, Jharkhand 827004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJlb_Ji8oj9DkR0soHqCsS-mU,schools
Bokaro Steel City,Station Rd,PM SHRI Kendriya Vidyalaya No.3 Bokaro,"Station Rd, Railway Colony, Bokaro Steel City, Jharkhand 827010, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ998FK8889DkRK7LIWfkrwn0,schools
Deoghar,Bhandar Kola,GD DAV (Sr.) PUBLIC SCHOOL,"Bhandar Kola, Satar, FM2V+2PV, Road, Deoghar, Bhandar Kola, Jharkhand 814114, India",,,https://www.google.com/maps/place/?q=place_id:ChIJyT9fpK898TkRq4UFz20jyyM,schools
Deoghar,Jatindra Nath Rd,Geeta Devi DAV Public School(Jr. Wing),"Jatindra Nath Rd, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112, India",,,https://www.google.com/maps/place/?q=place_id:ChIJmXpna4c98TkR0GXPHjxZ3JQ,schools
Deoghar,Village - Dumatanr,Delhi Public School Deoghar,"Village - Dumatanr , Near Lakra Mouja, Plot no 06, Dumatanr, Jharkhand 814113, India",,,https://www.google.com/maps/place/?q=place_id:ChIJud7heS8X8TkRBfJCzzQQb3E,schools
Deoghar,GP4H+3P2,DELHI PUBLIC SCHOOL Deoghar,"GP4H+3P2, Amgariya, near Delhi public school, Amgariya, Deoghar, Jharkhand 814157, India",,,https://www.google.com/maps/place/?q=place_id:ChIJTfVXw7gX8TkRHoVRrJCMG10,schools
Deoghar,GM5W+678,Dps international school,"GM5W+678, Katoria, Deoghar, Jharkhand 814112, India",,,https://www.google.com/maps/place/?q=place_id:ChIJHYrEcwAX8TkRA5LDIXYDAxc,schools
Deoghar,Vill- Rajabhita,KENDRIYA VIDYALAYA MADHUPUR,"Vill- Rajabhita, 7JH8+545, Madhupur, Rajabihta, Jharkhand 815353, India",,,https://www.google.com/maps/place/?q=place_id:ChIJhRgbcDI38TkRV4NFIYvYDP4,schools
Deoghar,FMRH+645 Infront of TV & FM Relay Centre,Deoghar Central School,"FMRH+645 Infront of TV & FM Relay Centre, Satsang Nagar, Hirna, Deoghar, Jharkhand 814142, India",,,https://www.google.com/maps/place/?q=place_id:ChIJfVKHWR4W8TkR14MlaWM__wE,schools
