City,Total Marts,Mart Names,Total Showrooms,Honda,Hero,TVS,Bajaj,Royal Enfield,Total Banks,HDFC,ICICI,SBI,Axis,Grand Total
Dhanbad,41,"Ramji Kirana Store, Vishal Mega Mart, Kolkata Mart, Amulya Market Memco More Dhanbad, Ozone Galleria Mall, Dhanbad City Bazar, TOP - UP MART, Sneha Shoppe - Online Mart, Apna Mart U&S enterprises, Cen",64,14,17,9,6,2,66,3,3,20,2,171
Bokaro Steel City,59,"Vishal Mega Mart, City market, Banka's Super Bazar, D MEGA MART, English Channel, Gramin food, Shree Super Market, STYLE BAAZAR BOKARO, New Big Bazaar (APNA MART), Retolia's Gift & Cos, Smart bazaar, ",42,3,13,6,7,1,58,1,3,20,1,159
Deoghar,51,"SHRINGAR_SECRET'S, Amit Store, Vishal Mega Mart, Star Bangle House, Rameshwaram Annapurna Grocery Mart, LIC Big Bazaar More, ASHRAFI D-MART, DM SHOPPING MART, Reliance Smart Point, Reliance SMART Baza",25,4,5,2,3,4,43,1,1,11,1,119
Giridih,49,"Vishal Mega Mart, AR Bazaar Cafe & Restaurant, TRENDS, Star Printing Press(wedding card wholesaler), Smart Grocery, Tarco Super, Chatro Mega Market, Saraswati Pustak Kendra, ASHRAFI D-MART, SD general",33,8,7,3,3,2,32,1,1,9,1,114
Ramgarh,48,"Vishal Mega Mart, central market, Dona, patal datun, eco friendly disposable market, Shiv Shankar General Store, Sabji Mandi, D S Complex, Big Joss, Narayani Complex, Reliance Smart Point, Khandelwal ",15,2,3,2,2,1,23,1,1,7,1,86
Daltonganj,47,"Sabji Market, S MART, JWALA SUPERMARKET, Vishal Mega Mart, TRENDS, Andaz Grocery Store, Vineet Tiwari Store, V-Mart - Daltonganj-Redma Chowk, Green Grocery Mart, Mahavir Mandir Bazaar, Paw Paw, vishal",20,3,2,3,4,2,25,1,1,5,1,92
Chaibasa,64,"Madhu Bazar, Beyond Temptation, Chaibasa, Vishal Mega Mart, Shambhu Grocery Shop, D Mart, Station Road Kuchaman City, Vishal Grocery, Sabji Mandi, Chaibasa Grocery, Puspanjali store, Needs, Simran gen",13,2,1,2,1,1,23,1,1,4,1,100
Dumka,46,"Shiv Ganga Store, Dumka Hatiya, VELINI NATURAL, V-Mart - Dumka, Vishal Mega Mart, M Baazar Dumka, TRENDS, M/s Om Bakery, INDIAN SUPER MARKET, D Mart, Ghaziabad, D Mart, Eros Mall, Indirapuram, Liquor ",29,4,5,2,3,2,28,1,1,8,1,103
Chatra,46,"Chatra more, Dibha Store, Vishal Mega Mart, Piyush General Store, Paridhi sringar store, dhamaniya more, chatra, Shree Narayan Bhandar, Happy Kirana And General Store, Nikku kirana and froot centre, R",29,1,11,3,2,1,21,1,1,4,1,96
Koderma,47,"More Supermarket - Garhshankar, Kerovit Studio, A Kajaria Company - Premium range of Faucets, Sanitaryware, Showers & More in Koderma, Jharkhand, Kerovit Studio, A Kajaria Company - Premium range of F",19,5,4,1,1,2,22,1,3,1,1,88
Gumla,39,"Zam Zam Store, Vishal Mega Mart, Ayush Indiashoppe, SK MART, TIGGA STORE, AKM Store, Gumla Traders, Apurv Collection, M Baazar Gumla, Reliance Smart Point, Govind Store, Reliance SMART Bazaar, B M Min",19,2,3,1,2,2,18,1,1,2,1,76
Sahibganj,63,"More Supermarket - Garhshankar, Vishal Mega Mart, SWAD, Vijay Distributor, ADITYA VISION SAHEBGANG, Reliance Smart Point, D Mart, Eros Mall, Indirapuram, vishal mega mart, Reliance SMART Bazaar, Schoo",18,1,1,1,3,2,21,1,1,6,1,102
Jamtara,47,"Vishal Mega Mart, DIAMOND SPORTS JAMTARA, VISHAL ENTERPRISES, MANDAL KIRANA STORE, RELIANCE SMART POINT JAMTARA, Maa kali variety Store (Mahadev Roy), Aj Mart, Minimax, Jamtara Bazar, ANJALI KIRANA BH",29,2,3,3,3,1,21,1,1,4,1,97
Chakradharpur,54,"Itwari bazar, KRISHNA General stor, Vishal Mega Mart, Planet M Computer Sales & Service, Rajesh Yadav, Food Rush, Chaibasa Grocery, CKP Retail (PRASHANT INDUSTRIES), Etwari Bazar, V2 Retail - Chakradh",17,2,1,1,3,2,17,1,1,2,1,88
Saraikela,45,"Shakambhari Vastralaya, Sip-N-Bite, Vishal Mega Mart, Garage Chowk (Atal Chowk), Sanjay Medical Store, Aryan Store, TAAJ BAKERY, Saraikela Daily Market, Smart bazaar, Sri Ram Honda, Saraikela, Jamshed",15,1,4,1,1,1,15,1,1,2,1,75
